model,attack,seed,n_examples,clean_acc,attacked_acc,acc_drop,asr,use_sim,pct_changed
bert-base,pwws,42,92,1.0,0.1522,0.8478,0.8478,0.7888,0.1602
bert-base,pwws,123,92,1.0,0.1522,0.8478,0.8478,0.7888,0.1602
bert-base,pwws,999,92,1.0,0.1522,0.8478,0.8478,0.7888,0.1602
bert-base,textfooler,42,92,1.0,0.0217,0.9783,0.9783,0.7775,0.1601
bert-base,textfooler,123,92,1.0,0.0217,0.9783,0.9783,0.7775,0.1601
bert-base,textfooler,999,92,1.0,0.0217,0.9783,0.9783,0.7775,0.1601
bert-tiny,pwws,42,83,1.0,0.0843,0.9157,0.9157,0.8452,0.1207
bert-tiny,pwws,123,83,1.0,0.0843,0.9157,0.9157,0.8452,0.1207
bert-tiny,pwws,999,83,1.0,0.0843,0.9157,0.9157,0.8452,0.1207
bert-tiny,textfooler,42,83,1.0,0.0,1.0,1.0,0.8333,0.1194
bert-tiny,textfooler,123,83,1.0,0.0,1.0,1.0,0.8333,0.1194
bert-tiny,textfooler,999,83,1.0,0.0,1.0,1.0,0.8333,0.1194
distilbert,pwws,42,94,1.0,0.117,0.883,0.883,0.8049,0.1429
distilbert,pwws,123,94,1.0,0.117,0.883,0.883,0.8049,0.1429
distilbert,pwws,999,94,1.0,0.117,0.883,0.883,0.8049,0.1429
distilbert,textfooler,42,94,1.0,0.0213,0.9787,0.9787,0.8122,0.139
distilbert,textfooler,123,94,1.0,0.0213,0.9787,0.9787,0.8122,0.139
distilbert,textfooler,999,94,1.0,0.0213,0.9787,0.9787,0.8122,0.139
