functional_group,mean_shap,count,std,importance_pct
adj_positive,0.03622,13,0.059222340307522464,4.29
adj_negative,0.3249342,10,0.39304135501462606,38.51
adj_neutral,0.091702453125,64,0.21112002819888065,10.87
intensifier,0.07781775,4,0.06368746340463456,9.22
adverb,0.093014175,40,0.15251327923418162,11.02
verb,0.05052429245283019,106,0.12553701399461867,5.99
noun,0.04417859589041096,292,0.08313204277463801,5.24
modal,0.022455,2,0.025584537556891662,2.66
negation,0.036137,6,0.020569933748070264,4.28
function_word,0.03829242279411765,272,0.08121713516943668,4.54
other,0.02858945,20,0.04304656982908162,3.39
