fine_pos,mean_shap,count,std,importance_pct
adj — base form,0.11446573493975905,83,0.24095297339376148,8.49
adverb — base,0.08463342222222223,45,0.14222347991013823,6.27
pronoun — personal,0.076123,16,0.07568788792314571,5.64
verb — gerund/present part,0.07158421428571428,14,0.2109770104516234,5.31
verb — 3rd person present,0.07036411111111111,36,0.16556320821879958,5.22
coordinating conj,0.05021282857142857,35,0.14382252957673947,3.72
noun — singular,0.04465403875968992,258,0.08563465172567399,3.31
verb — past tense,0.043913909090909094,11,0.06326690286785745,3.26
noun — plural,0.04071222857142857,35,0.060863640454363085,3.02
pronoun — possessive,0.039123692307692304,13,0.054629871197579276,2.9
preposition/subord. conj,0.03595161538461538,91,0.08050422138590266,2.67
infinitive marker,0.03516538888888889,18,0.032699618294478226,2.61
wh-determiner,0.0335195,8,0.06458416062781958,2.49
verb — past participle,0.031404272727272725,11,0.036390340347655196,2.33
determiner,0.031170939999999998,100,0.05754257308926789,2.31
verb — base form,0.030469461538461536,26,0.026654944737861706,2.26
verb — non-3rd present,0.02494775,8,0.027019048406369057,1.85
